NumberofCases,TypeofCrime
113,Drug dealing/trafficking
76,Drug dealing/trafficking
75,Drug dealing/trafficking
36,Drug dealing/trafficking
56,Drug dealing/trafficking
93,Drug dealing/trafficking
46,Drug dealing/trafficking
92,Drug dealing/trafficking
129,Drug dealing/trafficking
255,Drug dealing/trafficking
259,Drug dealing/trafficking
81,Drug dealing/trafficking
66,Drug dealing/trafficking
122,Drug dealing/trafficking
56,Drug dealing/trafficking
71,Drug dealing/trafficking
66,Drug dealing/trafficking
92,Drug dealing/trafficking
72,Drug dealing/trafficking
56,Drug dealing/trafficking
56,Drug dealing/trafficking
90,Drug dealing/trafficking
74,Drug dealing/trafficking
108,Drug dealing/trafficking
62,Drug dealing/trafficking
60,Drug dealing/trafficking
76,Drug dealing/trafficking
108,Drug dealing/trafficking
173,Drug dealing/trafficking
166,Drug dealing/trafficking
62,Drug dealing/trafficking
88,Drug dealing/trafficking
263,Drug dealing/trafficking
48,Drug dealing/trafficking
107,Drug dealing/trafficking
83,Drug dealing/trafficking
102,Drug dealing/trafficking
196,Drug dealing/trafficking
173,Drug dealing/trafficking
125,Drug dealing/trafficking
202,Drug dealing/trafficking
121,Drug dealing/trafficking
184,Drug dealing/trafficking
99,Drug dealing/trafficking
123,Drug dealing/trafficking
287,Drug dealing/trafficking
44,Drug dealing/trafficking
50,Drug dealing/trafficking
194,Drug dealing/trafficking
85,Drug dealing/trafficking
111,Drug dealing/trafficking
92,Drug dealing/trafficking
98,Drug dealing/trafficking
254,Drug dealing/trafficking
65,Drug dealing/trafficking
77,Drug dealing/trafficking
81,Drug dealing/trafficking
115,Drug dealing/trafficking
246,Drug dealing/trafficking
84,Drug dealing/trafficking
74,Drug dealing/trafficking
117,Drug dealing/trafficking
91,Drug dealing/trafficking
136,Drug dealing/trafficking
194,Drug dealing/trafficking
121,Drug dealing/trafficking
258,Drug dealing/trafficking
124,Drug dealing/trafficking
56,Drug dealing/trafficking
60,Drug dealing/trafficking
118,Drug dealing/trafficking
72,Drug dealing/trafficking
104,Drug dealing/trafficking
84,Drug dealing/trafficking
162,Drug dealing/trafficking
196,Drug dealing/trafficking
128,Drug dealing/trafficking
128,Drug dealing/trafficking
107,Drug dealing/trafficking
145,Drug dealing/trafficking
109,Drug dealing/trafficking
119,Drug dealing/trafficking
60,Drug dealing/trafficking
82,Drug dealing/trafficking
104,Drug dealing/trafficking
76,Drug dealing/trafficking
40,Drug dealing/trafficking
111,Drug dealing/trafficking
87,Drug dealing/trafficking
94,Drug dealing/trafficking
65,Drug dealing/trafficking
93,Drug dealing/trafficking
108,Drug dealing/trafficking
165,Drug dealing/trafficking
56,Drug dealing/trafficking
95,Drug dealing/trafficking
87,Drug dealing/trafficking
118,Drug dealing/trafficking
83,Drug dealing/trafficking
70,Drug dealing/trafficking
